Date,Age,Tm,Opp,W_or_L,MP,PTS
2006-04-22,21-113,CLE,WAS,W (+11),48:00,32
2006-04-25,21-116,CLE,WAS,L (-5),43:28,26
2006-04-28,21-119,CLE,WAS,W (+1),47:37,41
2006-04-30,21-121,CLE,WAS,L (-10),45:20,38
2006-05-03,21-124,CLE,WAS,W (+1),46:07,45
2006-05-05,21-126,CLE,WAS,W (+1),53:00,32
2006-05-07,21-128,CLE,DET,L (-27),36:00,22
2006-05-09,21-130,CLE,DET,L (-6),47:32,30
2006-05-13,21-134,CLE,DET,W (+9),48:00,21
2006-05-15,21-136,CLE,DET,W (+2),48:00,22
2006-05-17,21-138,CLE,DET,W (+2),46:50,32
2006-05-19,21-140,CLE,DET,L (-2),47:50,32
2006-05-21,21-142,CLE,DET,L (-18),46:45,27
2007-04-22,22-113,CLE,WAS,W (+15),44:19,23
2007-04-25,22-116,CLE,WAS,W (+7),45:00,27
2007-04-28,22-119,CLE,WAS,W (+6),46:02,30
2007-04-30,22-121,CLE,WAS,W (+7),46:11,31
2007-05-06,22-127,CLE,NJN,W (+4),46:01,21
2007-05-08,22-129,CLE,NJN,W (+10),45:49,36
2007-05-12,22-133,CLE,NJN,L (-11),44:08,18
2007-05-14,22-135,CLE,NJN,W (+2),46:20,30
2007-05-16,22-137,CLE,NJN,L (-11),42:47,20
2007-05-18,22-139,CLE,NJN,W (+16),38:53,23
2007-05-21,22-142,CLE,DET,L (-3),45:22,10
2007-05-24,22-145,CLE,DET,L (-3),44:41,19
2007-05-27,22-148,CLE,DET,W (+6),46:07,32
2007-05-29,22-150,CLE,DET,W (+4),44:17,25
2007-05-31,22-152,CLE,DET,W (+2),50:18,48
2007-06-02,22-154,CLE,DET,W (+16),46:12,20
2007-06-07,22-159,CLE,SAS,L (-9),44:00,14
2007-06-10,22-162,CLE,SAS,L (-11),38:00,25
2007-06-12,22-164,CLE,SAS,L (-3),41:59,25
2007-06-14,22-166,CLE,SAS,L (-1),46:29,24
2008-04-19,23-111,CLE,WAS,W (+7),41:25,32
2008-04-21,23-113,CLE,WAS,W (+30),39:00,30
2008-04-24,23-116,CLE,WAS,L (-36),35:57,22
2008-04-27,23-119,CLE,WAS,W (+3),44:23,34
2008-04-30,23-122,CLE,WAS,L (-1),44:05,34
2008-05-02,23-124,CLE,WAS,W (+17),44:12,27
2008-05-06,23-128,CLE,BOS,L (-4),38:49,12
2008-05-08,23-130,CLE,BOS,L (-16),41:38,21
2008-05-10,23-132,CLE,BOS,W (+24),40:15,21
2008-05-12,23-134,CLE,BOS,W (+11),44:00,21
2008-05-14,23-136,CLE,BOS,L (-7),44:43,35
2008-05-16,23-138,CLE,BOS,W (+5),46:39,32
2008-05-18,23-140,CLE,BOS,L (-5),46:48,45
2009-04-18,24-109,CLE,DET,W (+18),40:52,38
