Date,Age,Tm,Opp,W_or_L,MP,PTS
2003-10-29,18-303,CLE,SAC,L (-14),42:50,25
2003-10-30,18-304,CLE,PHO,L (-9),40:21,21
2003-11-01,18-306,CLE,POR,L (-19),39:10,8
2003-11-05,18-310,CLE,DEN,L (-4),41:06,7
2003-11-07,18-312,CLE,IND,L (-1),43:44,23
2003-11-08,18-313,CLE,WAS,W (+13),44:30,17
2003-11-10,18-315,CLE,NYK,W (+14),33:39,17
2003-11-12,18-317,CLE,MIA,L (-5),42:40,18
2003-11-14,18-319,CLE,BOS,L (-9),35:36,10
2003-11-15,18-320,CLE,PHI,W (+3),46:57,22
2003-11-18,18-323,CLE,LAC,W (+8),39:25,14
2003-11-19,18-324,CLE,WAS,L (-11),39:09,28
2003-11-21,18-326,CLE,MIN,L (-14),35:18,19
2003-11-22,18-327,CLE,ATL,L (-9),42:18,15
2003-11-26,18-331,CLE,NOH,L (-10),38:48,15
2003-11-28,18-333,CLE,DET,L (-4),36:27,6
2003-11-29,18-334,CLE,MEM,L (-7),54:41,33
2003-12-02,18-337,CLE,DEN,L (-12),32:31,19
2003-12-03,18-338,CLE,LAC,L (-10),34:05,4
2003-12-06,18-341,CLE,ATL,W (+10),36:04,8
2003-12-09,18-344,CLE,TOR,L (-7),37:03,18
2003-12-11,18-346,CLE,DET,W (+9),42:46,23
2003-12-13,18-348,CLE,BOS,L (-7),45:25,37
2003-12-15,18-350,CLE,IND,L (-10),43:40,27
2003-12-17,18-352,CLE,HOU,L (-4),36:00,17
2003-12-19,18-354,CLE,PHI,W (+7),41:41,36
2003-12-20,18-355,CLE,CHI,W (+8),41:44,32
2003-12-23,18-358,CLE,NOH,W (+11),39:10,22
2003-12-25,18-360,CLE,ORL,L (-12),47:06,34
2003-12-26,18-361,CLE,CHI,L (-7),34:20,18
2003-12-28,18-363,CLE,POR,W (+12),39:05,32
2003-12-30,19-000,CLE,IND,L (-3),38:07,22
2004-01-02,19-003,CLE,NJN,L (-15),36:04,14
2004-01-06,19-007,CLE,NYK,W (+11),41:25,14
2004-01-07,19-008,CLE,TOR,L (-6),38:14,21
2004-01-09,19-010,CLE,BOS,L (-25),42:13,19
2004-01-12,19-013,CLE,LAL,L (-10),36:26,16
2004-01-13,19-014,CLE,SEA,W (+8),43:54,27
2004-01-15,19-016,CLE,GSW,L (-17),43:25,29
2004-01-17,19-018,CLE,UTA,W (+6),44:25,29
2004-01-26,19-027,CLE,ORL,W (+1),29:58,16
2004-01-28,19-029,CLE,MIA,W (+1),44:24,27
2004-01-30,19-031,CLE,MIL,L (-6),37:17,20
