Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2007-04-22,22-113,CLE,,WAS,W (+15),1,44:19,7,14,.500,0,2,.000,9,11,.818,2,7,9,7,2,0,1,1,23,24.2,+17
2,2,2007-04-25,22-116,CLE,,WAS,W (+7),1,45:00,8,22,.364,0,3,.000,11,13,.846,4,4,8,7,1,2,2,2,27,22.5,+12
3,3,2007-04-28,22-119,CLE,@,WAS,W (+6),1,46:02,11,22,.500,3,5,.600,5,7,.714,0,6,6,9,1,0,2,3,30,24.1,+6
4,4,2007-04-30,22-121,CLE,@,WAS,W (+7),1,46:11,8,22,.364,1,5,.200,14,17,.824,3,8,11,7,3,1,2,3,31,27.5,+12
5,5,2007-05-06,22-127,CLE,,NJN,W (+4),1,46:01,8,21,.381,1,4,.250,4,6,.667,2,9,11,7,1,1,3,2,21,15.6,+6
6,6,2007-05-08,22-129,CLE,,NJN,W (+10),1,45:49,12,24,.500,3,7,.429,9,13,.692,0,1,1,12,3,0,2,2,36,31.3,+8
7,7,2007-05-12,22-133,CLE,@,NJN,L (-11),1,44:08,5,16,.313,1,5,.200,7,7,1.000,0,6,6,12,0,0,2,2,18,16.2,-12
8,8,2007-05-14,22-135,CLE,@,NJN,W (+2),1,46:20,9,16,.563,2,3,.667,10,15,.667,0,9,9,7,0,0,3,1,30,24.6,+9
9,9,2007-05-16,22-137,CLE,,NJN,L (-11),1,42:47,5,14,.357,0,2,.000,10,11,.909,3,6,9,5,2,1,5,4,20,15.3,-15
10,10,2007-05-18,22-139,CLE,@,NJN,W (+16),1,38:53,8,20,.400,1,5,.200,6,9,.667,1,7,8,8,1,0,2,4,23,16.8,+26
11,11,2007-05-21,22-142,CLE,@,DET,L (-3),1,45:22,5,15,.333,0,0,,0,0,,1,9,10,9,4,1,2,1,10,13.5,-5
12,12,2007-05-24,22-145,CLE,@,DET,L (-3),1,44:41,7,19,.368,0,1,.000,5,7,.714,0,6,6,7,3,0,6,1,19,11.0,-6
13,13,2007-05-27,22-148,CLE,,DET,W (+6),1,46:07,12,21,.571,2,3,.667,6,9,.667,1,8,9,9,2,0,3,2,32,28.5,+6
14,14,2007-05-29,22-150,CLE,,DET,W (+4),1,44:17,8,19,.421,1,5,.200,8,9,.889,0,7,7,11,3,0,3,0,25,24.3,-4
15,15,2007-05-31,22-152,CLE,@,DET,W (+2),1,50:18,18,33,.545,2,3,.667,10,14,.714,3,6,9,7,2,0,2,3,48,38.1,+2
16,16,2007-06-02,22-154,CLE,,DET,W (+16),1,46:12,3,11,.273,0,2,.000,14,19,.737,2,12,14,8,2,2,3,1,20,22.1,+13
17,17,2007-06-07,22-159,CLE,@,SAS,L (-9),1,44:00,4,16,.250,2,6,.333,4,4,1.000,1,6,7,4,1,1,6,1,14,5.0,-5
18,18,2007-06-10,22-162,CLE,@,SAS,L (-11),1,38:00,9,21,.429,0,2,.000,7,11,.636,3,4,7,6,1,0,6,3,25,13.6,-5
19,19,2007-06-12,22-164,CLE,,SAS,L (-3),1,41:59,9,23,.391,0,5,.000,7,8,.875,0,8,8,7,2,1,5,3,25,15.9,+4
20,20,2007-06-14,22-166,CLE,,SAS,L (-1),1,46:29,10,30,.333,2,7,.286,2,6,.333,0,6,6,10,0,0,6,1,24,7.8,+2
