Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2015-10-27,30-301,CLE,@,CHI,L (-2),1,36:04,12,22,.545,1,5,.200,0,3,.000,0,10,10,5,1,0,1,3,25,18.5,+1
2,2,2015-10-28,30-302,CLE,@,MEM,W (+30),1,30:48,4,13,.308,0,3,.000,4,8,.500,1,6,7,5,3,0,3,1,12,8.5,+10
3,3,2015-10-30,30-304,CLE,,MIA,W (+10),1,33:56,13,19,.684,0,2,.000,3,5,.600,2,3,5,4,1,0,4,3,29,21.0,+7
4,4,2015-11-02,30-307,CLE,@,PHI,W (+7),1,33:20,9,19,.474,0,3,.000,4,4,1.000,0,9,9,11,4,2,3,3,22,23.9,+21
5,5,2015-11-04,30-309,CLE,,NYK,W (+10),1,35:04,9,23,.391,1,5,.200,4,7,.571,2,3,5,3,4,1,3,1,23,15.0,+14
6,6,2015-11-06,30-311,CLE,,PHI,W (+6),1,36:20,12,22,.545,3,5,.600,4,6,.667,0,4,4,13,2,0,2,1,31,29.5,+24
7,7,2015-11-08,30-313,CLE,,IND,W (+4),1,35:01,10,23,.435,0,3,.000,9,14,.643,0,6,6,4,0,0,2,0,29,17.5,+1
8,8,2015-11-10,30-315,CLE,,UTA,W (+4),1,37:51,11,19,.579,1,3,.333,8,12,.667,3,4,7,8,2,0,5,2,31,25.6,+4
9,9,2015-11-13,30-318,CLE,@,NYK,W (+6),1,39:23,12,21,.571,0,2,.000,7,10,.700,0,3,3,6,2,1,3,4,31,23.1,+17
10,10,2015-11-14,30-319,CLE,@,MIL,L (-3),1,45:03,13,27,.481,5,11,.455,6,12,.500,4,8,12,5,1,3,7,3,37,24.5,-2
11,11,2015-11-17,30-322,CLE,@,DET,L (-5),1,39:48,11,21,.524,4,7,.571,4,5,.800,0,6,6,3,0,0,4,3,30,18.0,-6
12,12,2015-11-19,30-324,CLE,,MIL,W (+15),1,34:59,9,13,.692,1,1,1.000,8,9,.889,3,6,9,6,0,0,4,3,27,24.0,+13
13,13,2015-11-21,30-326,CLE,,ATL,W (+12),1,33:20,8,15,.533,1,2,.500,2,2,1.000,2,9,11,8,0,2,3,1,19,19.4,+17
14,14,2015-11-23,30-328,CLE,,ORL,W (+14),1,34:58,7,14,.500,0,2,.000,1,5,.200,0,6,6,13,1,0,2,0,15,16.3,+29
15,15,2015-11-25,30-330,CLE,@,TOR,L (-4),1,39:46,6,16,.375,1,5,.200,11,12,.917,2,4,6,8,0,0,2,1,24,20.6,+13
16,16,2015-11-27,30-332,CLE,@,CHO,W (+5),1,38:13,8,20,.400,2,5,.400,7,9,.778,2,11,13,5,0,0,3,2,25,17.8,+1
17,17,2015-11-28,30-333,CLE,,BRK,W (+2),1,35:43,10,22,.455,1,6,.167,5,6,.833,2,7,9,5,1,0,2,0,26,20.2,-1
18,18,2015-12-01,30-336,CLE,,WAS,L (-12),1,37:23,8,20,.400,0,3,.000,8,8,1.000,4,9,13,4,1,1,9,3,24,13.0,-12
19,19,2015-12-04,30-339,CLE,@,NOP,L (-6),1,44:47,13,29,.448,1,5,.200,10,11,.909,2,5,7,8,1,1,5,4,37,25.1,-4
20,,2015-12-05,30-340,CLE,@,MIA,L (-15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,20,2015-12-08,30-343,CLE,,POR,W (+5),1,40:20,14,24,.583,1,3,.333,4,4,1.000,1,9,10,3,2,3,2,3,33,28.2,+7
22,21,2015-12-11,30-346,CLE,@,ORL,W (+35),1,29:25,10,15,.667,0,1,.000,5,8,.625,0,3,3,8,4,0,4,0,25,23.8,+36
