Date,Age,Tm,Opp,W_or_L,MP,PTS
2006-11-01,21-306,CLE,WAS,W (+3),40:38,26
2006-11-03,21-308,CLE,SAS,W (+7),41:53,35
2006-11-04,21-309,CLE,CHA,L (-4),38:06,16
2006-11-07,21-312,CLE,ATL,L (-9),47:17,34
2006-11-09,21-314,CLE,CHI,W (+19),37:50,19
2006-11-11,21-316,CLE,BOS,W (+1),43:32,38
2006-11-13,21-318,CLE,NYK,W (+6),41:20,29
2006-11-15,21-320,CLE,POR,W (+13),38:54,32
2006-11-17,21-322,CLE,MIN,W (+16),40:30,37
2006-11-18,21-323,CLE,WAS,L (-12),33:20,20
2006-11-21,21-326,CLE,MEM,W (+3),41:59,15
2006-11-22,21-327,CLE,TOR,L (-8),39:55,30
2006-11-24,21-329,CLE,IND,L (-10),42:26,30
2006-11-25,21-330,CLE,PHI,W (+13),40:50,25
2006-11-29,21-334,CLE,NYK,L (-3),41:11,27
2006-12-01,21-336,CLE,ATL,W (+11),42:55,31
2006-12-02,21-337,CLE,HOU,L (-18),35:44,21
2006-12-06,21-341,CLE,TOR,W (+4),40:30,26
2006-12-09,21-344,CLE,IND,W (+32),31:52,27
2006-12-11,21-346,CLE,NOK,L (-6),41:36,15
2006-12-13,21-348,CLE,CHA,W (+3),41:37,22
2006-12-15,21-350,CLE,SEA,W (+22),33:37,22
2006-12-16,21-351,CLE,ORL,L (-7),41:03,29
2006-12-20,21-355,CLE,NJN,L (-2),40:11,37
2006-12-21,21-356,CLE,DET,L (-16),43:00,26
2006-12-23,21-358,CLE,ORL,W (+3),42:54,32
2006-12-27,21-362,CLE,ATL,W (+13),39:31,27
2006-12-29,21-364,CLE,MIL,W (+10),44:01,32
2006-12-30,22-000,CLE,CHI,L (-7),40:19,33
2007-01-02,22-003,CLE,SAS,W (+4),40:14,19
2007-01-03,22-004,CLE,BOS,W (+3),44:47,32
2007-01-05,22-006,CLE,MIL,W (+9),42:50,8
2007-01-06,22-007,CLE,NJN,W (+5),44:00,19
2007-01-09,22-010,CLE,SAC,W (+10),43:25,34
2007-01-11,22-012,CLE,PHO,L (-19),38:49,34
2007-01-13,22-014,CLE,LAC,W (+12),42:02,28
2007-01-16,22-017,CLE,SEA,L (-5),43:34,30
2007-01-17,22-018,CLE,POR,L (-18),35:07,23
2007-01-19,22-020,CLE,DEN,L (-11),43:52,30
2007-01-20,22-021,CLE,GSW,W (+2),45:52,32
2007-01-22,22-023,CLE,ORL,L (-11),43:23,18
2007-01-24,22-025,CLE,PHI,L (-3),53:10,39
2007-01-28,22-029,CLE,PHO,L (-15),42:04,30
2007-02-01,22-033,CLE,MIA,L (-3),35:35,17
2007-02-02,22-034,CLE,CHA,W (+20),35:39,18
2007-02-04,22-036,CLE,DET,L (-12),43:17,21
2007-02-07,22-039,CLE,LAC,W (+17),36:19,11
2007-02-09,22-041,CLE,MIA,W (+24),41:08,29
2007-02-11,22-043,CLE,LAL,W (+9),38:21,18
2007-02-14,22-046,CLE,UTA,L (-1),42:39,23
2007-02-15,22-047,CLE,LAL,W (+6),39:48,38
2007-02-21,22-053,CLE,TOR,W (+1),36:49,29
2007-02-22,22-054,CLE,CHI,L (-6),42:58,29
2007-02-25,22-057,CLE,MIA,L (-5),41:30,29
2007-02-27,22-059,CLE,NOK,W (+8),42:50,35
2007-03-01,22-061,CLE,DAL,L (-3),39:58,39
2007-03-03,22-063,CLE,TOR,W (+23),37:22,36
2007-03-05,22-065,CLE,HOU,W (+6),41:38,32
2007-03-07,22-067,CLE,DET,W (+4),50:40,41
2007-03-10,22-070,CLE,MIL,W (+2),36:30,32
2007-03-11,22-071,CLE,IND,W (+11),38:42,26
2007-03-14,22-074,CLE,MEM,W (+22),29:35,29
2007-03-17,22-077,CLE,UTA,W (+9),43:40,24
2007-03-20,22-080,CLE,CHA,L (-8),46:33,37
2007-03-21,22-081,CLE,DAL,L (-8),45:27,31
2007-03-23,22-083,CLE,NYK,W (+22),38:16,21
2007-03-25,22-085,CLE,DEN,L (-12),40:49,18
2007-03-27,22-087,CLE,IND,W (+11),40:08,26
2007-03-28,22-088,CLE,NYK,L (-4),43:55,24
2007-03-31,22-091,CLE,CHI,W (+4),47:24,39
2007-04-03,22-094,CLE,MIN,W (+13),41:49,31
2007-04-05,22-096,CLE,MIA,L (-4),48:36,35
2007-04-06,22-097,CLE,WAS,W (+5),44:25,25
2007-04-08,22-099,CLE,DET,L (-5),43:06,20
2007-04-12,22-103,CLE,NJN,W (+18),35:15,35
2007-04-14,22-105,CLE,ATL,W (+34),31:57,23
2007-04-17,22-108,CLE,PHI,W (+6),36:03,18
2007-04-18,22-109,CLE,MIL,W (+13),39:58,24
